Security Policy: KRIS10-PUBFW-Rule	-
NO.	DESTINATION
1	Any
2	Host_172.22.198.26
3	L4_172.22.198.45
-	-
4	L4_172.22.198.103
5	Host_172.22.198.26
-	Host_172.22.198.27
6	L4_172.22.199.195
-	L4_172.22.199.199
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Firewall Management	-
7	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	Commerce_Network_Devices
-	KRIS10-MGTF-12600-CXL
8	Host_10.10.68.71
-	Host_10.10.68.72
-	-
-	-
9	Host_10.10.77.235
-	Host_10.10.88.19
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
10	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	KRIS10-MGTF-12600-CXL
11	Commerce_Network_Devices
-	-
-	-
-	-
12	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	KRIS10-MGTF-12600-CXL
13	KRIS10-MGTS01-380M
-	KRIS10-PUBF-CXL
-	KRIS10-B2BF-CXL
-	Commerce_Network_Devices
-	KRIS10-MGTF-12600-CXL
14	Commerce_TACACS_Grp
-	SS_TACACS_Grp
-	-
-	-
-	-
-	-
-	-
15	MGMTc-ntp-VIP_10.10.65.31
-	MGMTc-ntp01_10.10.64.31_12600
-	MGMTc-ntp02_10.10.64.32_12600
-	-
General Server Management	-
16	Any
-	-
-	-
17	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
18	MGMTc-msadmin01_10.10.64.40_12600
-	MGMTc-repo1_10.10.64.20_12600
-	-
-	-
-	-
19	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
20	MGMTc-zabbix01_10.10.68.39_12600
-	-
-	-
-	-
21	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
-	-
-	-
-	-
-	-
22	APC1_10.10.100.58
-	APC2_10.10.100.59
-	-
-	-
23	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
24	MGMTc-dns-VIP_10.10.65.29
-	MGMTc-dns01_10.10.64.29_12600
-	MGMTc-dns02_10.10.64.30_12600
-	-
25	MGMTc-ntp-VIP_10.10.65.31
-	MGMTc-ntp01_10.10.64.31_12600
-	MGMTc-ntp02_10.10.64.32_12600
-	-
26	EMAILc-smtp-VIP_10.10.65.41
-	EMAILc-smtp01_10.10.64.41_12600
-	EMAILc-smtp02_10.10.64.42_12600
-	-
27	MGMTc-ldap01_10.10.68.21
-	MGMTc-ldap02_10.10.68.22
-	MGMTc-ldap03_10.10.68.23
-	MGMTc-ldap04_10.10.68.24
-	MGMTc-ldap-VIP_10.10.69.21
28	MGMTc-syslog01_10.10.68.50
-	MGMTc-backup01_10.10.68.55
-	-
-	-
29	MGMTc-ad01_10.10.68.31
-	MGMTc-ad02_10.10.68.32
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
30	MGMTc-msadmin01_10.10.64.40_12600
-	-
-	-
-	-
31	MGMTc-hpmon_10.10.68.26
-	MGMTc-dellmon_10.10.68.28
-	MGMTc-ibmmon_10.10.68.27
-	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
32	Host_172.22.232.191
-	Host_172.22.232.192
-	Host_172.22.232.193
-	Host_172.22.232.194
-	Host_172.22.232.195
-	Host_172.22.232.196
-	Host_172.22.232.201
-	Host_172.22.232.202
-	Host_172.22.232.203
-	Host_172.22.232.204
33	Host_172.22.198.23
34	Host_10.40.30.210
-	Host_10.40.30.211
-	Host_10.40.30.212
-	Host_10.40.30.213
-	-
-	-
35	DevZone_172.21.32.0
-	DB-Zone-Network
-	MGMT-Zone-Network
-	WEB-Zone-Network
-	-
-	-
36	Host_172.22.232.46
-	Host_172.22.232.51
-	Host_172.22.232.52
-	Host_172.22.232.53
37	DEV-Zone-Network
38	Host_10.10.68.85
-	WEB-Zone-Network
-	-
-	-
-	-
-	-
39	Host_10.10.100.39
-	MGMTc-zabbix01_10.10.68.39_12600
40	Host_175.126.56.108
-	Host_175.126.56.97
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
41	Host_172.21.4.103
-	Host_172.21.4.104
-	Host_172.21.4.247
Firewall Request (Internet -> Web)	-
42	L4_172.22.198.94
-	-
-	-
-	-
43	L4_172.22.198.94
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
44	L4_172.22.198.94
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
45	L4_172.22.198.94
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
46	L4_172.22.198.95
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
47	Host_172.22.200.196
-	Host_172.22.200.197
-	Host_172.22.200.198
48	Host_172.22.198.72
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
49	Host_203.238.37.3
-	Host_211.219.96.180
-	-
-	-
50	Host_172.22.198.73
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
51	Host_172.22.198.73
52	Host_172.22.198.69
-	-
53	Host_172.22.192.54
-	L4_172.22.198.121
-	Host_172.22.193.167
-	-
-	-
54	L4_172.22.198.121
-	Host_172.22.193.167
-	L4_172.22.198.122
-	L4_172.22.198.131
-	Host_172.22.193.202
55	L4_172.22.198.122
56	L4_172.22.198.119
-	-
-	-
57	L4_172.22.198.119
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
58	L4_172.22.198.119
59	L4_172.22.198.46
-	L4_172.22.198.92
-	L4_172.22.198.93
-	L4_172.22.198.81
-	L4_172.22.198.63
-	-
-	-
60	L4_172.22.198.34
-	L4_172.22.198.35
-	L4_172.22.198.83
-	L4_172.22.198.84
-	L4_172.22.198.36
-	L4_172.22.198.37
-	L4_172.22.198.39
-	L4_172.22.198.40
-	L4_172.22.198.41
-	L4_172.22.198.42
-	L4_172.22.198.87
-	L4_172.22.198.43
