Address Translation Policy: KRIS10-PUBFW-Rule	-
NO.	TRANSLATED PACKET
-	SOURCE
1	Any
2	Any
3	Any
4	Any
5	Any
6	Any
7	Any
8	Any
9	Any
10	Any
11	Any
12	Any
13	Any
14	Any
15	Any
16	Any
17	Any
18	Any
19	Any
20	Any
21	Any
22	Any
23	Any
24	Any
25	Any
26	Any
27	Any
28	Any
Public Global NAT (N:1)	-
29	Host_175.126.208.10
30	Host_175.126.208.11
31	Host_175.126.208.12
32	Host_175.126.208.13
33	Host_175.126.208.14
34	Host_175.126.208.15
35	Host_175.126.208.16
36	Host_175.126.208.17
37	Host_175.126.208.19
38	Host_175.126.208.20
39	Host_175.126.208.21
40	Host_175.126.208.22
41	Host_175.126.208.23
42	Host_175.126.208.24
43	Host_175.126.208.25
44	Host_175.126.208.26
45	Host_175.126.208.27
46	Host_175.126.208.28
47	Host_175.126.208.29
48	Host_175.126.208.30
49	Host_175.126.208.31
50	Host_175.126.208.32
51	Host_175.126.208.33
52	Host_175.126.208.34
53	Host_175.126.208.35
54	Host_175.126.208.36
55	Host_175.126.208.37
56	Host_175.126.208.38
57	Host_175.126.208.39
58	Host_175.126.208.40
59	Host_175.126.208.41
60	Host_175.126.208.42
61	Host_175.126.208.43
62	Host_175.126.208.44
63	Host_175.126.208.45
64	Host_175.126.208.46
65	Host_175.126.208.47
66	Host_175.126.208.48
67	Host_175.126.208.49
68	Host_175.126.208.50
69	Host_175.126.208.51
70	Host_175.126.208.52
71	Host_175.126.208.53
72	Host_175.126.208.54
73	Host_175.126.208.55
74	Host_175.126.208.56
75	Host_175.126.208.57
76	Host_175.126.208.58
77	Host_175.126.208.59
78	Host_175.126.208.60
79	Host_175.126.208.61
80	Host_175.126.208.62
81	Host_175.126.208.63
82	Host_175.126.208.64
83	Host_175.126.208.65
84	Host_175.126.208.66
85	Host_175.126.208.67
86	Host_175.126.208.68
87	Host_175.126.208.69
88	Host_175.126.208.70
89	Host_175.126.208.71
90	Host_175.126.208.72
91	Host_175.126.208.74
92	Host_175.126.208.75
93	Host_175.126.208.77
94	Host_175.126.208.78
95	Host_175.126.208.79
96	Host_175.126.208.80
97	Host_175.126.208.81
98	Host_175.126.208.82
99	Host_175.126.208.83
100	Host_175.126.208.84
101	Host_175.126.208.85
102	Host_175.126.208.86
103	Host_175.126.208.87
104	Host_175.126.208.88
105	Host_175.126.208.89
106	Host_175.126.208.90
107	Host_175.126.208.91
108	Host_175.126.208.92
109	Host_175.126.208.93
110	Host_175.126.208.94
111	Host_175.126.208.95
112	Host_175.126.208.96
113	Host_175.126.208.97
114	Host_175.126.208.98
115	Host_175.126.208.99
116	Host_175.126.208.100
117	Host_175.126.208.102
118	Host_175.126.208.104
119	Host_175.126.208.105
120	Host_175.126.208.193
121	Host_175.126.208.194
122	Host_175.126.208.195
123	Host_175.126.208.225
124	Host_175.126.208.241
125	Host_175.126.208.242
126	Host_175.126.208.4
