Address Translation Policy: KRIS10-PUBFW-Rule	-
NO.	ORIGINAL PACKET
1	Net_10.0.0.0
2	Net_10.0.0.0
3	Net_10.0.0.0
4	Net_10.0.0.0
5	Net_10.0.0.0
6	Net_10.0.0.0
7	Net_10.0.0.0
8	Net_10.0.0.0
9	Net_10.0.0.0
10	Net_10.0.0.0
11	Net_10.0.0.0
12	Net_172.16.0.0
13	Net_172.16.0.0
14	Net_172.16.0.0
15	Net_172.16.0.0
16	Net_172.16.0.0
17	Net_172.16.0.0
18	Net_172.16.0.0
19	Net_172.16.0.0
20	Net_172.16.0.0
21	Net_172.16.0.0
22	Net_172.16.0.0
23	Net_192.168.0.0
24	Net_192.168.0.0
25	Net_192.168.0.0
26	Net_192.168.0.0
27	Net_192.168.0.0
28	Net_192.168.0.0
Public Global NAT (N:1)	-
29	Public_NAT_OCB_Outbound_175.126.208.10_Grp
30	Public_NAT_175.126.208.11_Grp
31	Public_NAT_175.126.208.12_Grp
32	Public_NAT_175.126.208.13_Grp
33	Public_NAT_175.126.208.14_Grp
34	Public_NAT_175.126.208.15_Grp
35	Public_NAT_MAILTXc_bulktx_175.126.208.16_Grp
36	Public_NAT_MAILTXc_rtimetx_175.126.208.17_Grp
37	Public_NAT_175.126.208.19_Grp
38	Public_NAT_175.126.208.20_Grp
39	Public_NAT_175.126.208.21_Grp
40	Public_NAT_175.126.208.22_Grp
41	Public_NAT_175.126.208.23_Grp
42	Public_NAT_175.126.208.24_Grp
43	Public_NAT_175.126.208.25_Grp
44	Public_NAT_175.126.208.26_Grp
45	Public_NAT_175.126.208.27_Grp
46	Public_NAT_175.126.208.28_Grp
47	Public_NAT_175.126.208.29_Grp
48	Public_NAT_175.126.208.30_Grp
49	Public_NAT_175.126.208.31_Grp
50	Public_NAT_175.126.208.32_Grp
51	Public_NAT_175.126.208.33_Grp
52	Public_NAT_175.126.208.34_Grp
53	Public_NAT_175.126.208.35_Grp
54	Public_NAT_175.126.208.36_Grp
55	Public_NAT_175.126.208.37_Grp
56	Public_NAT_175.126.208.38_Grp
57	Public_NAT_175.126.208.39_Grp
58	Public_NAT_175.126.208.40_Grp
59	Public_NAT_175.126.208.41_Grp
60	Public_NAT_175.126.208.42_Grp
61	Public_NAT_175.126.208.43_Grp
62	Public_NAT_175.126.208.44_Grp
63	Public_NAT_175.126.208.45_Grp
64	Public_NAT_175.126.208.46_Grp
65	Public_NAT_175.126.208.47_Grp
66	Public_NAT_175.126.208.48_Grp
67	Public_NAT_175.126.208.49_Grp
68	Public_NAT_175.126.208.50_Grp
69	Public_NAT_175.126.208.51_Grp
70	Public_NAT_175.126.208.52_Grp
71	Public_NAT_175.126.208.53_Grp
72	Public_NAT_175.126.208.54_Grp
73	Public_NAT_175.126.208.55_Grp
74	Public_NAT_175.126.208.56_Grp
75	Public_NAT_175.126.208.57_Grp
76	Public_NAT_175.126.208.58_Grp
77	Public_NAT_175.126.208.59_Grp
78	Public_NAT_175.126.208.60_Grp
79	Public_NAT_175.126.208.61_Grp
80	Public_NAT_175.126.208.62_Grp
81	Public_NAT_175.126.208.63_Grp
82	Public_NAT_175.126.208.64_Grp
83	Public_NAT_175.126.208.65_Grp
84	Public_NAT_175.126.208.66_Grp
85	Public_NAT_175.126.208.67_Grp
86	Public_NAT_175.126.208.68_Grp
87	Public_NAT_175.126.208.69_Grp
88	Public_NAT_175.126.208.70_Grp
89	Public_NAT_175.126.208.71_Grp
90	Public_NAT_175.126.208.72_Grp
91	Public_NAT_175.126.208.73_Grp
92	Public_NAT_175.126.208.74_Grp
93	Public_NAT_175.126.208.75_Grp
94	Public_NAT_175.126.208.76_Grp
95	Public_NAT_175.126.208.77_Grp
96	Public_NAT_175.126.208.78_Grp
97	Public_NAT_175.126.208.79__Grp
98	Public_NAT_175.126.208.80_Grp
99	Public_NAT_175.126.208.81_Grp
100	Public_NAT_175.126.208.82_Grp
101	Public_NAT_175.126.208.83_Grp
102	Public_NAT_175.126.208.84_Grp
103	Public_NAT_175.126.208.85_Grp
104	Public_NAT_175.126.208.86_Grp
105	Public_NAT_175.126.208.87_Grp
106	Public_NAT_175.126.208.88_Grp
107	Public_NAT_175.126.208.89_Grp
108	Public_NAT_175.126.208.90_Grp
109	Public_NAT_175.126.208.91_Grp
110	Public_NAT_175.126.208.92_Grp
111	Public_NAT_175.126.208.93_Grp
112	Public_NAT_175.126.208.94_Grp
113	Public_NAT_175.126.208.95_Grp
114	Public_NAT_175.126.208.96_Grp
115	Public_NAT_175.126.208.97_Grp
116	Public_NAT_175.126.208.98_Grp
117	Public_NAT_175.126.208.99_Grp
118	Public_NAT_175.126.208.100_Grp
119	Public_NAT_175.126.208.102_Grp
120	Public_NAT_175.126.208.104_Grp
121	Public_NAT_175.126.208.105_Grp
122	Public_NAT_175.126.208.193_Grp
123	Public_NAT_175.126.208.194_Grp
124	Public_NAT_175.126.208.195_Grp
125	Public_NAT_175.126.208.225_Grp
126	Public_NAT_175.126.208.241_Grp
127	Public_NAT_175.126.208.242_Grp
128	Public_Global_NAT_Grp
