Security Policy: KRIS10-PUBFW-Rule	-
NO.	SERVICE
1	Any
2	Any
3	http
-	https
4	Any
5	Any
-	-
6	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Firewall Management	-
7	snmp
-	telnet
-	snmp-read
-	snmp-trap
-	syslog
8	syslog
-	snmp
-	snmp-read
-	snmp-trap
9	ftp
-	TCP_10020
-	TCP_10021
-	TCP_10022
-	TCP_10023
-	TCP_10024
-	TCP_10025
-	TCP_10026
-	TCP_10027
-	TCP_10028
-	TCP_10029
10	telnet
-	ftp
-	imap
-	pop-3
11	telnet
-	ftp
-	imap
-	pop-3
12	Any
-	-
-	-
-	-
13	Any
-	-
-	-
-	-
-	-
14	RADIUS
-	RADIUS-ACCOUNTING
-	TACACS
-	TACACSplus
-	NEW-RADIUS
-	TCP_2638
-	TCP_61616
15	ntp
-	-
-	-
-	-
General Server Management	-
16	ssh
-	telnet
-	Remote_Desktop_Protocol
17	Any
-	-
-	-
18	TCP_873
-	http
-	TCP_8000
-	TCP_445
-	-
19	ssh
-	http
-	-
-	-
20	TCP_10051
-	TCP_10052
-	-
-	-
21	TCP_10050
-	ssh
-	http
-	https
-	TCP_8443
-	HTTP_and_HTTPS_proxy
-	TCP_8000
-	TCP_8010
22	TCP_2186
-	TCP_5465
-	TCP_2191
-	UDP_2191
23	TCP_6063
-	-
-	-
-	-
24	domain-udp
-	-
-	-
-	-
25	ntp-udp
-	-
-	-
-	-
26	smtp
-	TCP_1234
-	-
-	-
27	ldap
-	ldap-ssl
-	-
-	-
-	-
28	TCP_873
-	TCP_514
-	syslog
-	-
29	TCP_135
-	TCP_49152-65535
-	ldap
-	ldap-ssl
-	TCP_3268
-	TCP_3269
-	domain-tcp
-	Kerberos_v5_TCP
-	microsoft-ds
-	ldap_udp
-	domain-udp
-	Kerberos_v5_UDP
-	microsoft-ds-udp
-	nbdatagram
30	TCP_1688
-	-
-	-
-	-
31	TCP_161
-	TCP_2301
-	TCP_2381
-	TCP_280
-	TCP_50004
-	TCP_5988
-	TCP_5989
-	TCP_50000
-	snmp
-	TCP_427
-	TCP_6988
-	TCP_6989
-	TCP_15988
-	TCP_15989
-	UDP_427
-	TCP_50001
-	TCP_50002
-	TCP_50003
-	TCP_50010
-	TCP_8421
-	TCP_8422
32	TCP_2181
-	TCP_9000
-	TCP_9092
-	TCP_9999
-	-
-	-
-	-
-	-
-	-
-	-
33	http
34	MySQL
-	-
-	-
-	-
-	-
-	-
35	telnet
-	ftp
-	ssh
-	TCP_20
-	Remote_Desktop_Protocol
-	TCP_11000-16000
36	TCP_2181
-	HTTP_and_HTTPS_proxy
-	-
-	-
37	TCP_12906
38	TCP_26542
-	TCP_2144
-	TCP_2443
-	TCP_9443
-	TCP_7443
-	TCP_7080
39	TCP_9999
-	-
40	TCP_6119
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
41	TCP_6119
-	-
-	-
Firewall Request (Internet -> Web)	-
42	https
-	-
-	-
-	-
43	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
44	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
45	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
46	TCP_12889
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
47	TCP_873
-	TCP_2221
-	-
48	TCP_31901
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
49	TCP_34049
-	-
-	-
-	-
50	TCP_2221
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
51	TCP_2221
52	http
-	https
53	https
-	http
-	-
-	-
-	-
54	http
-	-
-	-
-	-
-	-
55	https
56	http
-	https
-	TCP_20443
57	https
-	http
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
58	http
59	http
-	https
-	-
-	-
-	-
-	-
-	-
60	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
61	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
62	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
63	http
-	-
-	-
64	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
65	TCP_12889
-	https
-	http
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
66	https
-	-
-	-
-	-
-	-
67	TCP_15600
-	https
-	http
68	https
-	-
69	https
-	http
70	http
71	https
-	http
-	-
-	-
72	http
-	https
-	TCP_3301
73	TCP_5672
-	TCP_15672
-	-
74	http
-	https
-	-
-	-
75	TCP_10001
-	TCP_17777
-	http
76	http
-	https
77	https
-	http
78	https
-	http
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
79	https
80	http
-	https
-	TCP_2195
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
81	http
-	https
82	http
-	https
83	http
-	https
-	-
-	-
-	-
-	-
-	-
84	http
-	https
85	http
-	https
86	http
-	https
87	TCP_26000
-	TCP_26001
-	TCP_27000
-	TCP_7769
-	irc2
-	TCP_9000
-	TCP_9001
88	TCP_26000
-	TCP_26001
-	TCP_27000
-	TCP_7769
-	irc2
-	TCP_9000
-	TCP_9001
89	TCP_26002
-	TCP_18080
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
90	TCP_27020
-	HTTP_and_HTTPS_proxy
-	TCP_8443
91	HTTP_and_HTTPS_proxy
-	TCP_8443
92	https
93	TCP_26002
-	TCP_18080
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
94	TCP_26000
-	TCP_26001
-	TCP_9000
-	TCP_9001
-	TCP_27000
-	TCP_7769
-	Freak2k
-	irc2
95	http
-	https
96	http
-	-
97	http
-	HTTP_and_HTTPS_proxy
-	TCP_27020
98	https
-	http
-	-
-	-
-	-
-	-
99	TCP_1364
-	-
-	-
-	-
100	http
-	https
-	-
-	-
-	-
101	http
-	https
-	TCP_2181
-	TCP_9092
102	http
-	https
-	-
103	http
-	https
104	http
-	https
-	-
105	http
-	https
106	http
-	https
-	-
107	https
108	http
-	https
109	http
-	https
110	http
-	https
111	ftp
-	TCP_10020
-	TCP_10021
-	TCP_10022
-	TCP_10023
-	TCP_10024
-	TCP_10025
-	TCP_10026
-	TCP_10027
-	TCP_10028
-	TCP_10029
112	TCP_10301
113	https
-	TCP_10003
114	http
-	https
115	https
116	irc2
117	TCP_1443
118	http
-	https
-	-
-	-
119	http
-	https
120	http
-	https
121	http
-	https
-	-
-	-
-	-
-	-
122	http
-	https
Firewall Request (WAS -> Internet)	-
123	TCP_3700
-	TCP_3701
-	TCP_3702
-	TCP_3703
-	TCP_3704
-	TCP_3705
-	TCP_3706
-	TCP_3707
-	TCP_3708
-	TCP_3709
-	TCP_3710
-	TCP_3711
-	TCP_3712
-	TCP_3713
-	TCP_3714
-	TCP_3715
124	TCP_17205
-	TCP_20046
-	TCP_27020
-	TCP_30047
125	http
-	https
-	-
-	-
126	https
-	http
-	TCP_9070
-	TCP_1301
-	-
-	-
127	http
-	-
-	-
128	Paypin_Outbound_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
129	smtp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
130	TCP_1024_65535
-	-
131	http
-	https
-	ftp
-	TCP_2195
132	http
-	https
-	TCP_10301
-	TCP_8111
-	ssh
-	TCP_19007
-	TCP_2195
-	HTTP_and_HTTPS_proxy
-	TCP_8090
-	TCP_8880
-	TCP_8443
-	TCP_8002
-	TCP_5981
-	TCP_743
-	ftp
-	TCP_5505
-	TCP_31000
-	TCP_13003
-	SkyDance-T
-	TCP_20860
-	TCP_8100
-	TCP_9000
-	TCP_9001
-	TCP_9002
-	TCP_2804
-	TCP_7077
133	http
-	https
-	TCP_10301
-	TCP_8111
-	ssh
-	TCP_19007
-	TCP_2195
-	HTTP_and_HTTPS_proxy
-	TCP_8090
-	TCP_8880
-	TCP_8443
-	TCP_8002
134	http
-	https
-	TCP_10301
-	TCP_8111
-	ssh
-	TCP_19007
-	TCP_2195
-	HTTP_and_HTTPS_proxy
-	TCP_8090
-	TCP_8880
-	TCP_8443
-	TCP_8002
135	TCP_5981
-	http
-	HTTP_and_HTTPS_proxy
-	https
-	TCP_8090
-	TCP_743
-	ftp
-	TCP_5505
-	TCP_31000
-	TCP_13003
-	SkyDance-T
-	TCP_8002
-	TCP_20860
-	TCP_8100
-	TCP_8880
-	TCP_10301
-	TCP_8111
-	ssh
-	TCP_19007
-	TCP_2195
-	TCP_8443
-	TCP_754
-	TCP_8712
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
136	http
-	https
-	ftp
-	TCP_13131
-	TCP_9091
-	TCP_51000
-	TCP_51001
-	CP_SmartPortal
-	TCP_8443
-	TCP_5981
-	HTTP_and_HTTPS_proxy
-	TCP_8090
-	TCP_743
-	TCP_5505
-	TCP_31000
-	TCP_13003
-	SkyDance-T
-	TCP_8002
-	TCP_20860
-	TCP_8100
-	TCP_8880
-	TCP_10301
-	TCP_8111
-	ssh
-	TCP_19007
-	TCP_2195
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
137	TCP_2195
-	http
-	https
-	-
138	http
-	https
-	TCP_2195
139	http
-	https
-	-
-	-
-	-
140	http
-	https
-	TCP_13131
-	TCP_9091
-	TCP_51000
-	TCP_51001
-	ftp
-	TCP_10444
141	TCP_5981
-	http
-	HTTP_and_HTTPS_proxy
-	https
-	TCP_8090
-	TCP_743
-	ftp
-	TCP_5505
-	TCP_31000
-	TCP_13003
-	SkyDance-T
-	TCP_8002
-	TCP_20860
-	TCP_8100
-	TCP_8880
-	TCP_10301
-	TCP_8111
-	ssh
-	TCP_19007
-	TCP_2195
-	TCP_8443
-	TCP_13131
-	TCP_9091
-	TCP_51000
-	TCP_51001
-	TCP_10444
142	TCP_4000
-	-
143	TCP_20
-	ftp
-	http
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
144	TCP_2022
-	TCP_27020
-	ftp
145	http
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
146	http
-	https
-	TCP_34049
-	HTTP_and_HTTPS_proxy
-	TCP_8443
-	ftp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
147	ftp
-	http
-	TCP_48860
-	TCP_9070
-	TCP_9090
148	http
149	http
-	https
-	HTTP_and_HTTPS_proxy
-	-
-	-
150	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
151	TCP_5288
-	TCP_5229
-	TCP_5230
152	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
153	http
-	https
-	HTTP_and_HTTPS_proxy
-	-
154	TCP_8090
-	-
155	http
-	https
156	http
-	https
157	TCP_51120
-	http
-	TCP_86
-	https
-	TCP_8443
-	TCP_30900
-	-
158	http
-	https
-	TCP_39992
-	TCP_15880
-	TCP_8443
-	TCP_10100
-	TCP_9600
-	CP_SSL_Network_Extender
-	TCP_8300
-	TCP_8011
-	TCP_8014
-	TCP_15800
-	ldap
-	TCP_34567
-	TCP_2005
-	TCP_3552
-	GoToMyPC
-	TCP_43588
-	TCP_51120
-	TCP_3443
-	TCP_8181
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
159	http
-	https
-	-
-	-
-	-
-	-
160	https
-	http
-	HTTP_and_HTTPS_proxy
-	TCP_30900
-	-
-	-
161	http
-	https
162	TCP_7000_9000
-	-
163	https
-	http
-	TCP_2195
164	https
-	TCP_30100
-	TCP_30200
-	TCP_30300
-	TCP_30400
-	TCP_30500
-	TCP_30600
-	TCP_30700
-	TCP_30800
-	TCP_30900
-	TCP_31000
-	TCP_31100
-	TCP_31200
-	TCP_31300
-	TCP_31400
-	TCP_31500
-	TCP_31600
-	TCP_31700
-	TCP_31800
-	TCP_31900
165	http
-	-
-	-
166	http
-	https
-	TCP_30900
-	TCP_51120
-	TCP_39992
-	TCP_15880
-	TCP_7243
-	TCP_9600
-	TCP_7050
-	CP_SSL_Network_Extender
-	TCP_8011
-	TCP_8014
-	TCP_10100
-	GoToMyPC
-	TCP_15800
-	TCP_48300
-	TCP_34567
-	TCP_35567
-	TCP_2005
-	TCP_3552
-	TCP_43587
-	TCP_8181
-	TCP_3443
-	TCP_21043
-	TCP_8090
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
167	TCP_9600
-	TCP_7050
168	TCP_2195
-	http
-	https
169	http
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
170	TCP_31043
-	-
-	-
171	TCP_21043
-	-
-	-
-	-
172	domain-udp
-	-
173	domain-udp
-	domain-tcp
-	-
-	-
174	https
-	-
-	-
-	-
-	-
175	http
-	https
-	-
-	-
176	TCP_5505
-	TCP_31000
-	TCP_13003
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
177	http
-	https
-	-
-	-
-	-
-	-
178	ftp
-	-
-	-
179	https
-	TCP_20443
180	http
-	https
-	-
-	-
181	http
-	https
-	-
-	-
182	http
183	TCP_10301
184	http
-	TCP_843
-	https
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
185	http
-	-
-	-
-	-
-	-
-	-
186	TCP_10021
-	ftp
-	TCP_1024_65535
187	TCP_8000
-	TCP_8443
-	TCP_8553
-	HTTP_and_HTTPS_proxy
188	http
-	-
189	http
-	https
190	http
-	-
-	-
191	TCP_8880
192	http
-	-
-	-
-	-
193	http
-	https
-	-
194	http
-	https
-	-
195	TCP_10004
196	http
-	https
-	CP_SSL_Network_Extender
197	https
198	https
199	http
200	TCP_2181
-	TCP_9092
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
201	http
-	https
-	-
Firewall Request (WAS -> DB)	-
202	ssh
-	-
-	-
-	-
203	TCP_2181
-	TCP_9000
-	TCP_9092
-	TCP_9999
-	TCP_10000
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
204	TCP_9200_9300
-	-
-	-
-	-
-	-
205	TCP_9200_9300
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
206	http
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
207	TCP_2181
-	TCP_9000
-	TCP_9092
-	TCP_9999
-	TCP_10000
-	-
-	-
-	-
-	-
-	-
208	MySQL
-	-
-	-
-	-
-	-
-	-
209	MySQL
-	-
-	-
210	TCP_1700
-	-
211	ftp
-	TCP_10020
-	TCP_10021
-	TCP_10022
-	TCP_10023
-	TCP_10024
-	TCP_10025
-	TCP_10026
-	TCP_10027
-	TCP_10028
-	TCP_10029
212	http
213	TCP_1700
-	-
-	-
-	-
-	-
214	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
215	MySQL
-	-
-	-
-	-
-	-
-	-
216	http
-	TCP_2181
-	TCP_9092
-	TCP_9999
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
217	UDP_25826
-	-
218	sqlnet1
-	TCP_1700
-	-
-	-
-	-
-	-
-	-
219	TCP_1700
-	-
220	MySQL
-	-
-	-
221	TCP_11211
-	TCP_11212
-	TCP_11213
-	-
-	-
-	-
222	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
223	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
224	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
225	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
226	MySQL
-	-
-	-
227	TCP_1700_86400s
228	TCP_1700
-	-
-	-
-	-
-	-
229	MySQL
-	-
-	-
230	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
231	sqlnet1
-	-
232	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
